id,price_doc
30474,5358493.48685
30475,8160846.80111
30476,5394614.95192
30477,5753899.42679
30478,4997184.79165
30479,9113841.56768
30480,4221168.42464
30481,4267134.31799
30482,4884643.23848
30483,4729234.36423
30484,6556430.85233
30485,4919754.25082
30486,3690415.39834
30487,3746879.87585
30488,6116361.58643
30489,6164331.59889
30490,22098816.1928
30491,19318185.6371
30492,5736124.44078
30493,12670114.6938
30494,6819542.73136
30495,10355650.4136
30496,8823961.55635
30497,8075503.94808
30498,4546068.36209
30499,7539147.95371
30500,11304647.5285
30501,6732165.62315
30502,3151411.00013
30503,6353964.30496
30504,5823009.14831
30505,11341333.5928
30506,3365812.68107
30507,4769362.06884
30508,5418704.14703
30509,7535069.35026
30510,9156493.90081
30511,6564833.19648
30512,6195688.78981
30513,4197340.33063
30514,3738565.4208
30515,9617296.442
30516,5798412.9614
30517,11377565.1309
30518,8763866.65465
30519,4537203.57624
30520,7232515.97111
30521,5598469.20873
30522,7858187.34132
30523,6518861.21885
30524,10749387.037
30525,10818501.6105
30526,4845900.97672
30527,5083877.84597
30528,6627376.46783
30529,6432221.68272
30530,6402252.32578
30531,14694526.8425
30532,4678039.81269
30533,10557096.3521
30534,6891769.5438
30535,9392532.41452
30536,5828303.54833
30537,11616493.3025
30538,4840868.36565
30539,8536530.23013
30540,9537444.25766
30541,6122985.77116
30542,2106195.25824
30543,5473956.61815
30544,6673237.69887
30545,8807895.71817
30546,4130102.81383
30547,9896405.8135
30548,4599170.22139
30549,5071887.4336
30550,12069309.1267
30551,5088664.85364
30552,1908421.55298
30553,7122596.35929
30554,10786666.9136
30555,6154707.38132
30556,8964692.77547
30557,6927409.39696
30558,9333029.0301
30559,6222676.59223
30560,6243356.29055
30561,6645820.05655
30562,12160553.2907
30563,4763328.25457
30564,7244271.77891
30565,6642876.65221
30566,7118171.36811
30567,1979681.18522
30568,10105190.6303
30569,9594654.90153
30570,6748568.96037
30571,7353781.55583
30572,4886646.26043
30573,6541238.7742
30574,6067125.3621
30575,7785955.11384
30576,4931041.76504
30577,4329680.48214
30578,3364947.44178
30579,6811799.46261
30580,4485649.97224
30581,5564958.77137
30582,12255589.4716
30583,6922006.35608
30584,4285011.88291
30585,2671807.60264
30586,8980942.41095
30587,5832013.63245
30588,7886005.7949
30589,7601989.99084
30590,12498689.4491
30591,5293709.34274
30592,6386041.37697
30593,8401746.85903
30594,6705435.37543
30595,5539607.45353
30596,6757983.97004
30597,6549338.17219
30598,9478398.84032
30599,10797108.3862
30600,3383473.85307
30601,5912585.42656
30602,1707822.11633
30603,12400351.6687
30604,4716806.65291
30605,6698445.39057
30606,22665769.7613
30607,6749323.98466
30608,8593412.87796
30609,6179981.98982
30610,3130787.36033
30611,5517033.87057
30612,7187820.52482
30613,7990974.96807
30614,17143113.8295
30615,7514670.24404
30616,5610699.58249
30617,9372532.95998
30618,5130899.34123
30619,3984308.78793
30620,2674682.99432
30621,8757606.82642
30622,7782673.32398
30623,6135569.99179
30624,6607890.57419
30625,7991901.4438
30626,5995144.28231
30627,7380752.65325
30628,6493609.35587
30629,5204994.70272
30630,4334152.892
30631,6109019.32874
30632,4141043.82388
30633,5926427.58411
30634,11499918.5573
30635,9511956.30011
30636,5381742.09338
30637,9476999.78892
30638,5939292.95099
30639,7260557.39683
30640,4555750.46178
30641,7947971.66895
30642,6481759.31843
30643,7783717.54083
30644,9482167.43133
30645,7378825.86148
30646,5178674.53777
30647,4781172.77995
30648,23843542.8868
30649,2179875.27894
30650,4948865.89184
30651,3451367.96487
30652,4468688.34584
30653,7158805.97451
30654,4435954.2137
30655,12324999.2765
30656,3970048.67618
30657,6354273.48619
30658,10053703.4977
30659,4725145.96122
30660,8521955.96279
30661,6839967.04076
30662,8226191.34262
30663,17352448.065
30664,11937586.792
30665,6140960.4168
30666,2645311.40587
30667,4216631.78952
30668,8988016.77086
30669,4909160.43781
30670,2375520.98667
30671,7257883.17403
30672,14555747.6822
30673,10482340.2265
30674,11483472.1307
30675,2057259.23587
30676,6738684.58883
30677,4075965.03325
30678,19923421.4866
30679,5696853.2728
30680,5028550.5667
30681,2485615.64874
30682,8672080.45369
30683,9564530.54327
30684,4907984.05009
30685,7136863.95136
30686,9295727.57865
30687,5014933.35202
30688,4420344.66749
30689,14656715.6906
30690,24722838.2807
30691,4369270.07822
30692,5892801.46899
30693,11267615.2641
30694,5386476.84097
30695,7191171.63071
30696,6433542.34508
30697,12160469.998
30698,7140450.42091
30699,5924598.10777
30700,4956509.04606
30701,9482167.43133
30702,6152394.59417
30703,3830367.41647
30704,11818283.2977
30705,9032761.74997
30706,25588956.5922
30707,3541863.59588
30708,13885984.1489
30709,6349900.91336
30710,6620575.64207
30711,4561499.76811
30712,4047559.34666
30713,6516691.45609
30714,6878969.09671
30715,3845999.85115
30716,9564530.54327
30717,6385920.19893
30718,8908781.99189
30719,15286908.7669
30720,7188813.95454
30721,4608333.75606
30722,7466786.02782
30723,6126538.85035
30724,12232571.8711
30725,6601901.52232
30726,11696301.3343
30727,9624291.57575
30728,12112483.3503
30729,3355689.4428
30730,6148004.37827
30731,6398474.82922
30732,4352665.7103
30733,9611595.3491
30734,7095266.47732
30735,5573962.40495
30736,5178721.17783
30737,6856106.7013
30738,6018885.95997
30739,4580590.16654
30740,6922918.89114
30741,11979004.6236
30742,4055993.78135
30743,4922405.67163
30744,9455698.76526
30745,6655922.29314
30746,5749149.494
30747,14429415.9252
30748,15757794.7657
30749,4847256.15459
30750,6557620.23692
30751,3257053.23047
30752,7137775.22382
30753,9832457.26971
30754,5528742.63135
30755,4776011.24029
30756,6322849.18102
30757,5258537.93595
30758,10265056.7064
30759,5869123.52898
30760,4475965.6769
30761,9809672.39239
30762,6738790.66819
30763,12003317.3919
30764,6203737.17725
30765,6033847.66533
30766,3462933.38112
30767,9569519.83797
30768,4284981.37468
30769,7137758.07898
30770,6078100.33797
30771,2839406.45649
30772,8479251.41592
30773,7983963.81483
30774,5700502.10619
30775,11684967.8526
30776,5707545.14589
30777,6280510.80282
30778,9088517.20271
30779,6557022.72071
30780,7519318.70674
30781,6752713.8926
30782,5406067.93197
30783,5612590.96513
30784,3649828.01975
30785,5463861.76202
30786,4187197.39361
30787,6204587.12663
30788,5869412.79372
30789,7297276.95406
30790,6594874.17499
30791,9968406.48331
30792,7141784.32635
30793,11880144.718
30794,13643203.9883
30795,10895675.0657
30796,11686026.5305
30797,14576570.2273
30798,2650763.84469
30799,10623880.4344
30800,13439587.8989
30801,6172234.15089
30802,19229977.4743
30803,2925264.07674
30804,3737455.17329
30805,14670931.0883
30806,7091433.11527
30807,5951363.08727
30808,10040806.096
30809,4918420.40129
30810,11443771.6244
30811,4311683.46268
30812,5188080.16534
30813,4934559.60064
30814,2520029.67964
30815,3838320.44497
30816,8170125.76019
30817,1825001.1563
30818,7512243.96217
30819,8047181.03406
30820,5288693.87165
30821,23845864.1619
30822,9178122.76342
30823,7719923.47609
30824,3421345.81262
30825,5334393.10906
30826,10824142.855
30827,5458527.49289
30828,5617560.78026
30829,5441320.81061
30830,8809173.24027
30831,6809682.30999
30832,6045037.85914
30833,5126598.39251
30834,4218093.29044
30835,7272257.27215
30836,6475330.09885
30837,5128122.8329
30838,4415974.45302
30839,6005776.27487
30840,11065655.5974
30841,11956027.6676
30842,7321543.54435
30843,5285599.94695
30844,6668127.25572
30845,9544676.29957
30846,4214815.82609
30847,5705989.06526
30848,8363285.6981
30849,4538765.74462
30850,4065474.05393
30851,4947954.37131
30852,6517876.63037
30853,4438163.14866
30854,5684652.51302
30855,7547271.4264
30856,8746148.1589
30857,2279007.59438
30858,4204351.95127
30859,5964713.68796
30860,5931101.36834
30861,8833298.20949
30862,6224873.20092
30863,5116420.24378
30864,6345039.76474
30865,9548561.28196
30866,7125502.25999
30867,5823999.33922
30868,8490252.9087
30869,5504970.90909
30870,4717521.66169
30871,8448905.75752
30872,4954600.58541
30873,3807060.24209
30874,4959744.14312
30875,6729352.26499
30876,4935466.47013
30877,10435278.7171
30878,5667916.10844
30879,10420098.2788
30880,6378300.65512
30881,1842309.43687
30882,10106897.2083
30883,3727869.44329
30884,5759720.34306
30885,5168900.98698
30886,7657335.12846
30887,5703532.2866
30888,4489866.2311
30889,5203575.50376
30890,7248810.46298
30891,3464421.03391
30892,3539994.77413
30893,4272724.68431
30894,5704261.46102
30895,4343774.78129
30896,6516687.8174
30897,7756344.46121
30898,6902918.90345
30899,6971378.89085
30900,3455916.64945
30901,6540851.48932
30902,2001870.07154
30903,7160599.2236
30904,8037641.45543
30905,5744049.99568
30906,6322598.07798
30907,11825615.3743
30908,4222362.59016
30909,13181956.949
30910,7044625.1218
30911,4247420.88542
30912,6625003.09664
30913,19895177.2929
30914,5981876.29254
30915,7899796.0743
30916,5600274.04618
30917,8522472.02035
30918,6691086.35246
30919,4826502.39197
30920,4895384.65496
30921,4003571.00766
30922,5753133.1673
30923,3476691.89126
30924,5075815.87136
30925,14643426.7218
30926,6792744.38826
30927,8097409.1851
30928,5303920.70504
30929,5079275.24851
30930,10403027.8327
30931,11119913.8594
30932,5060613.44966
30933,4681512.17241
30934,13715515.4591
30935,6849244.79638
30936,7167789.96363
30937,8926653.34427
30938,3875844.96347
30939,9507602.34889
30940,6678749.29884
30941,6493291.66685
30942,3611260.28083
30943,6668590.16196
30944,5057446.37601
30945,3649960.71682
30946,13518711.5155
30947,7280006.93927
30948,8694710.57778
